<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180827,152500,106605.381186
RIZ8 [SPBFUT],5,20180827,153000,106618.065920
RIZ8 [SPBFUT],5,20180827,153500,106630.097020
RIZ8 [SPBFUT],5,20180827,154000,106641.874909
RIZ8 [SPBFUT],5,20180827,154500,106653.243487
RIZ8 [SPBFUT],5,20180827,155000,106664.285040
RIZ8 [SPBFUT],5,20180827,155500,106675.318360
RIZ8 [SPBFUT],5,20180827,160000,106686.264460
RIZ8 [SPBFUT],5,20180827,160500,106696.886875
RIZ8 [SPBFUT],5,20180827,161000,106707.504370
RIZ8 [SPBFUT],5,20180827,161500,106718.275087
RIZ8 [SPBFUT],5,20180827,162000,106729.434967
RIZ8 [SPBFUT],5,20180827,162500,106739.953268
RIZ8 [SPBFUT],5,20180827,163000,106751.020831
RIZ8 [SPBFUT],5,20180827,163500,106762.159006
RIZ8 [SPBFUT],5,20180827,164000,106772.813876
RIZ8 [SPBFUT],5,20180827,164500,106783.542620
RIZ8 [SPBFUT],5,20180827,165000,106792.526473
RIZ8 [SPBFUT],5,20180827,165500,106803.257489
RIZ8 [SPBFUT],5,20180827,170000,106813.271264
RIZ8 [SPBFUT],5,20180827,170500,106824.312597
RIZ8 [SPBFUT],5,20180827,171000,106835.424751
RIZ8 [SPBFUT],5,20180827,171500,106847.239575
RIZ8 [SPBFUT],5,20180827,172000,106858.961001
RIZ8 [SPBFUT],5,20180827,172500,106870.905974
RIZ8 [SPBFUT],5,20180827,173000,106881.412646
RIZ8 [SPBFUT],5,20180827,173500,106891.678158
RIZ8 [SPBFUT],5,20180827,174000,106902.020623
RIZ8 [SPBFUT],5,20180827,174500,106912.597536
RIZ8 [SPBFUT],5,20180827,175000,106924.276606
RIZ8 [SPBFUT],5,20180827,175500,106935.863353
RIZ8 [SPBFUT],5,20180827,180000,106947.516607
RIZ8 [SPBFUT],5,20180827,180500,106959.472997
RIZ8 [SPBFUT],5,20180827,181000,106970.702460
RIZ8 [SPBFUT],5,20180827,181500,106982.475563
RIZ8 [SPBFUT],5,20180827,182000,106994.313701
RIZ8 [SPBFUT],5,20180827,182500,107005.583948
RIZ8 [SPBFUT],5,20180827,183000,107017.081308
RIZ8 [SPBFUT],5,20180827,183500,107027.143906
RIZ8 [SPBFUT],5,20180827,184000,107036.968856
RIZ8 [SPBFUT],5,20180827,190000,107046.637086
RIZ8 [SPBFUT],5,20180827,190500,107056.703196
RIZ8 [SPBFUT],5,20180827,191000,107066.926886
RIZ8 [SPBFUT],5,20180827,191500,107076.595449
RIZ8 [SPBFUT],5,20180827,192000,107086.740939
RIZ8 [SPBFUT],5,20180827,192500,107096.569074
RIZ8 [SPBFUT],5,20180827,193000,107106.003311
RIZ8 [SPBFUT],5,20180827,193500,107116.232533
RIZ8 [SPBFUT],5,20180827,194000,107126.222790
RIZ8 [SPBFUT],5,20180827,194500,107136.055021
RIZ8 [SPBFUT],5,20180827,195000,107145.888578
RIZ8 [SPBFUT],5,20180827,195500,107156.197759
RIZ8 [SPBFUT],5,20180827,200000,107166.109239
RIZ8 [SPBFUT],5,20180827,200500,107175.863317
RIZ8 [SPBFUT],5,20180827,201000,107185.303132
RIZ8 [SPBFUT],5,20180827,201500,107194.668325
RIZ8 [SPBFUT],5,20180827,202000,107203.959484
RIZ8 [SPBFUT],5,20180827,202500,107211.517117
RIZ8 [SPBFUT],5,20180827,203000,107218.777851
RIZ8 [SPBFUT],5,20180827,203500,107224.558263
RIZ8 [SPBFUT],5,20180827,204000,107229.897724
RIZ8 [SPBFUT],5,20180827,204500,107235.906437
RIZ8 [SPBFUT],5,20180827,205000,107241.551446
RIZ8 [SPBFUT],5,20180827,205500,107246.440367
RIZ8 [SPBFUT],5,20180827,210000,107250.895384
RIZ8 [SPBFUT],5,20180827,210500,107255.868543
RIZ8 [SPBFUT],5,20180827,211000,107260.169978
RIZ8 [SPBFUT],5,20180827,211500,107264.911717
RIZ8 [SPBFUT],5,20180827,212000,107269.299766
RIZ8 [SPBFUT],5,20180827,212500,107274.917950
RIZ8 [SPBFUT],5,20180827,213000,107280.017413
RIZ8 [SPBFUT],5,20180827,213500,107285.708975
RIZ8 [SPBFUT],5,20180827,214000,107291.197442
RIZ8 [SPBFUT],5,20180827,214500,107296.958727
RIZ8 [SPBFUT],5,20180827,215000,107302.121108
RIZ8 [SPBFUT],5,20180827,215500,107307.163629
RIZ8 [SPBFUT],5,20180827,220000,107311.929134
RIZ8 [SPBFUT],5,20180827,220500,107316.261710
RIZ8 [SPBFUT],5,20180827,221000,107320.718139
RIZ8 [SPBFUT],5,20180827,221500,107325.218391
RIZ8 [SPBFUT],5,20180827,222000,107330.078325
RIZ8 [SPBFUT],5,20180827,222500,107334.662686
RIZ8 [SPBFUT],5,20180827,223000,107339.447961
RIZ8 [SPBFUT],5,20180827,223500,107343.800151
RIZ8 [SPBFUT],5,20180827,224000,107348.592245
RIZ8 [SPBFUT],5,20180827,224500,107352.793097
RIZ8 [SPBFUT],5,20180827,225000,107357.355997
RIZ8 [SPBFUT],5,20180827,225500,107362.989546
